ID,Lugar,Etapa,Mes,Fecha,Dia,Hora,Usuario,ID_barrio,Barrio1,comuna,Estrato,Hora1,hora_r
2208,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,21:30:00,PONAL_WS,1404.0,Las Orquídeas,14,1,1900-01-01 21:30:00,22
2209,OTRO,INDAGACIÓN,enero,2020-01-27,lunes,09:30:00,PONAL_WS,3000.0,Rural,30,2,1900-01-01 09:30:00,10
2210,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,19:30:00,PONAL_WS,1601.0,Mariano Ramos,16,2,1900-01-01 19:30:00,20
2211,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,07:30:00,PONAL_WS,101.0,Terrón Colorado,1,2,1900-01-01 07:30:00,8
2212,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,11:00:00,PONAL_WS,3000.0,Rural,30,2,1900-01-01 11:00:00,11
2213,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,07:30:00,PONAL_WS,3000.0,Rural,30,2,1900-01-01 07:30:00,8
2214,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,05:30:00,PONAL_WS,497.0,La Alianza,4,3,1900-01-01 05:30:00,6
2215,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,06:00:00,PONAL_WS,806.0,La Floresta,8,3,1900-01-01 06:00:00,6
2216,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,07:00:00,PONAL_WS,1790.0,El Gran Limonar,17,5,1900-01-01 07:00:00,7
2217,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,02:00:00,PONAL_WS,598.0,Torres de Comfandi,5,3,1900-01-01 02:00:00,2
2218,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,06:45:00,PONAL_WS,294.0,Vipasa,2,4,1900-01-01 06:45:00,7
2219,SIN INFORMACION,INDAGACIÓN,enero,2020-01-27,lunes,19:00:00,PONAL_WS,1401.0,Alfonso Bonilla Aragón,14,1,1900-01-01 19:00:00,19
2220,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,08:00:00,PONAL_WS,1109.0,Aguablanca,11,3,1900-01-01 08:00:00,8
2221,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,08:00:00,PONAL_WS,312.0,San Nicolás,3,2,1900-01-01 08:00:00,8
2222,SIN INFORMACION,INDAGACIÓN,enero,2020-01-28,martes,07:50:00,PONAL_WS,1910.0,San Fernando Viejo,19,5,1900-01-01 07:50:00,8
2223,ESTABLECIMIENTO DE COMERCIO,INDAGACIÓN,enero,2020-01-28,martes,05:00:00,PONAL_WS,1015.0,San Cristóbal,10,3,1900-01-01 05:00:00,5
2224,SIN INFORMACION,INDAGACIÓN,enero,2020-01-20,lunes,07:30:00,PONAL_WS,1910.0,San Fernando Viejo,19,5,1900-01-01 07:30:00,8
